Number_of_Passes_M,Common_Internal_Coefficient,Common_Boundary_Coefficient,Common_Total_Coefficient,Empirical_Internal_Coefficient,Empirical_Boundary_Coefficient,Empirical_Total_Coefficient,Relative_Total_Coefficient_Difference,Independent_SD_Slope_per_eta,Perfectly_Shared_SD_Slope_per_eta,Common_eta_max_per_unit_q,Empirical_eta_max_per_unit_q,Common_Rmax_over_Wq,Empirical_Rmax_over_Wq
2,0.5643323916028282,0.399070030980022,0.9634024225828501,0.5612642926836813,0.3985241151174433,0.9597884078011245,-0.0037513033982586146,0.1029992547184626,0.1029992547184626,1.0379878403450895,1.0418963095115936,1.0379878403450895,1.0418963095115936
3,0.7524431888037709,0.26604668732001463,1.0184898761237855,0.7483523902449083,0.26568274341162884,1.0140351336565372,-0.004373870149993406,0.09710862862478055,0.13733233962461677,0.9818457929163174,0.9861591248757551,0.9818457929163174,0.9861591248757551
4,0.8464985874042423,0.199535015490011,1.0460336028942534,0.8418964390255219,0.19926205755872164,1.0411584965842435,-0.004660563768239392,0.0891999711570528,0.15449888207769388,0.9559922331683383,0.9604685581308962,0.9559922331683383,0.9604685581308962
5,0.9029318265645252,0.1596280123920088,1.062559838956534,0.8980228682938901,0.15940964604697733,1.0574325143408674,-0.004825445520980598,0.08239940377477008,0.16479880754954015,0.9411234674388129,0.9456868277058164,0.9411234674388129,0.9456868277058164
6,0.9405539860047137,0.13302334366000731,1.073577329664721,0.9354404878061355,0.13284137170581442,1.0682818595119499,-0.004932546549231798,0.07677111172743277,0.171665424530771,0.9314652725689547,0.9360825432876443,0.9314652725689547,0.9360825432876443
7,0.9674269570334197,0.11402000885143485,1.0814469658848547,0.9621673588863107,0.11386403289069809,1.0760313917770088,-0.0050077112227272106,0.07208446227062455,0.17657015094593587,0.9246870457320913,0.9293409166702404,0.9246870457320913,0.9293409166702404
8,0.9875816853049494,0.0997675077450055,1.0873491930499548,0.9822125121964422,0.09963102877936082,1.0818435409758032,-0.005063370727032597,0.06812760330251204,0.18024869575730953,0.9196677630256522,0.9243480800356937,0.9196677630256522,0.9243480800356937
9,1.0032575850716945,0.08868222910667155,1.091939814178366,0.9978031869932111,0.08856091447054296,1.0863641014637542,-0.005106245456218066,0.0647390857498537,0.18310978616615572,0.9158013903471901,0.9205016979598385,0.9158013903471901,0.9205016979598385
10,1.015798304885091,0.0798140061960044,1.0956123110810954,1.0102757268306264,0.07970482302348866,1.089980549854115,-0.005140286550288159,0.061799552831077555,0.18539865849323267,0.9127316203787909,0.9174475637513364,0.9127316203787909,0.9174475637513364
11,1.026058893823324,0.07255818745091308,1.098617081274237,1.0204805321521477,0.07245893002135333,1.0929394621735011,-0.00516796907449384,0.05922040767457942,0.18727137221538653,0.9102352558000869,0.9149637602171719,0.9102352558000869,0.9149637602171719
12,1.034609384605185,0.06651167183000366,1.1011210564351885,1.028984536586749,0.06642068585290721,1.0954052224396562,-0.005190922435029066,0.0569349802645639,0.18883196698384808,0.90816535943599,0.9129041741948497,0.90816535943599,0.9129041741948497
13,1.0418444152667599,0.06139538938154184,1.1032398046483016,1.0361802326467962,0.0613114023257605,1.0974916349725568,-0.005210263128221081,0.05489228994280173,0.1901524702494694,0.9064212474809925,0.9111686760373399,0.9064212474809925,0.9111686760373399
14,1.048045870119538,0.05701000442571742,1.1050558745452554,1.0423479721268367,0.056932016445349044,1.0992799885721858,-0.0052267818362094235,0.053052727745999013,0.19128433019143054,0.9049316175179944,0.9096863496067668,0.9049316175179944,0.9096863496067668
15,1.0534204643252794,0.05320933746400293,1.1066298017892824,1.0476933463428717,0.05313654868232577,1.1008298950251976,-0.00524105419419131,0.05138505629993951,0.1922652754744635,0.903644559710144,0.9084055624934771,0.903644559710144,0.9084055624934771
16,1.0581232342553029,0.04988375387250275,1.1080069881278056,1.0523705487819024,0.04981551438968041,1.1021860631715827,-0.0052535092455134,0.04986429977454767,0.19312360259711736,0.9025213836328735,0.9072878286289173,0.9025213836328735,0.9072878286289173
17,1.0622727371347354,0.04694941540941435,1.1092221525441497,1.0564974921104588,0.04688519001381686,1.1033826821242756,-0.005264473312654715,0.04847023751457063,0.19388095005828251,0.9015326620608558,0.9063038746219587,0.9015326620608558,0.9063038746219587
18,1.0659611841386756,0.044341114553335774,1.1103022986920112,1.0601658861802867,0.04428045723527148,1.1044463434155583,-0.005274199002696462,0.04718631184045772,0.19455414780154046,0.9006556153022897,0.905431038784055,0.9006556153022897,0.905431038784055
19,1.0692613735632535,0.042007371682107573,1.1112687452453611,1.0634481335059223,0.041949906854467714,1.10539804036039,-0.005282884909783804,0.04599882408542235,0.19515648262445542,0.8998723344632592,0.9046515042436412,0.8998723344632592,0.9046515042436412
