Configuration,Configuration_Name,N_Pass1_Plus_Pass3,Author_Style_RMS_m,Author_Style_MeanAbs_m,Author_Style_SDAbs_m,Signed_Mean_m,Signed_SD_m,Abs_P95_m,Abs_P99_m
C01,Navilock_EGNOS_off,54701,0.8648936689969408,0.8037309983384301,0.319467379789352,-0.039143764281497156,0.8640153191446028,1.6310417074022538,1.8284196070093222
C02,Navilock_EGNOS_on,54857,1.9054874384248084,1.8710629832969505,0.36056630524139033,-0.21298367619497327,1.893564283059501,2.324828390749329,2.495196007149125
C03,Novatel_EGNOS_off_GLIDE_off,54640,0.7933803856846938,0.7799959890988902,0.14511746550259205,0.13427700281125032,0.7819420139112555,0.9663852083969258,0.9878204006410767
C04,Novatel_EGNOS_on_GLIDE_off,53869,0.4697074867689418,0.4324289472257331,0.18338743969529692,0.4324289472257331,0.18338743969529692,0.6550393376782716,0.6718072860575095
C05,Novatel_EGNOS_on_GLIDE_on,55279,0.0868126561938357,0.08082987584948678,0.03166996352485298,0.07085305332657653,0.05016301057780333,0.13027093699545156,0.1448637669243656
C06,Harxon_EGNOS_off,53500,0.5145905119772545,0.5051412552675726,0.09816255576215355,0.06958654645101066,0.5098685779168811,0.6262722950555218,0.6432913433008021
C07,Harxon_EGNOS_on,54358,0.44431064872081755,0.39698842409673246,0.19953164190102338,0.18165680944704005,0.405482158463701,0.7370392181021158,0.7467850846807402
C08,Harxon_RTK_645km,54460,0.5021437277015347,0.41747521936539067,0.2790415636352075,0.41747521936539067,0.2790415636352075,1.0040764352869298,1.0514882710392675
C09,Harxon_RTK_296km,53421,0.2389954984425086,0.22068433633337683,0.0917465505655769,0.22030863716439084,0.09264509342553894,0.41208601214451107,0.4316612692797008
C10,Harxon_RTK_100km,54521,0.17291051210937328,0.12009069502698425,0.12440479906318407,-0.11786301303979041,0.1265173859276396,0.3418036247873833,0.35775459946808735
C11,Harxon_RTK_42km,53432,0.028076196143257185,0.022695854828688463,0.016528039087044685,-0.01690425592260839,0.02241714358664969,0.05501273210218453,0.06744659559651117
C12,Harxon_RTK_14km,53680,0.02307283233057723,0.019256004907184467,0.012710817304457523,0.018387629946314894,0.013937513245128439,0.04269361205066935,0.05488266436743383
C13,Harxon_NRTK_VRS,54391,0.013513494924186017,0.010230637165945038,0.008828932063792238,0.004982876049043479,0.012561384969330945,0.031042912687908153,0.040190232567140605
C14,Harxon_RTK_on_site,53961,0.012494759844785036,0.009961628257767806,0.007542283489730119,-0.006206354771667173,0.01084446233902859,0.02488103825776592,0.031315445221884
